!molecule
CH3CN
!molecular weight
41
!number of energy levels
251
!level + energies(cm^-1) + weight + J_K
236	4	3	1.282236E-05	55.192986	5.30
237	3	2	3.545982E-06	36.795476	2.65
238	2	1	3.693758E-07	18.397784	0.88
!number of collision partners
1
!collisions between
1 H2+CH3CN Green 1986
!number of collisional transitions
31375
!number of collision temperatures
8
!collision temperature
20.0	40.0	60.0	80.0	100.0	120.0	140.0	500.0
!trans + up + low + collrates(cm^3 s^-1)
1	251	250	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
2	251	249	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
3	251	248	1.27E-10	1.54E-10	1.71E-10	1.83E-10	1.92E-10	2.00E-10	2.05E-10	3.02E-10
4	251	247	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
5	251	246	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
6	251	245	4.30E-11	5.66E-11	6.50E-11	7.07E-11	7.47E-11	7.77E-11	7.99E-11	1.20E-10
7	251	244	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
8	251	243	1.95E-11	2.84E-11	3.35E-11	3.67E-11	3.87E-11	3.99E-11	4.08E-11	5.69E-11
9	251	242	8.72E-12	1.47E-11	1.79E-11	1.97E-11	2.09E-11	2.18E-11	2.24E-11	3.32E-11
10	251	241	4.87E-12	8.68E-12	1.05E-11	1.16E-11	1.23E-11	1.29E-11	1.34E-11	2.18E-11
11	251	240	2.61E-12	4.88E-12	5.95E-12	6.62E-12	7.17E-12	7.64E-12	8.08E-12	1.60E-11
12	251	239	1.36E-12	2.69E-12	3.32E-12	3.73E-12	4.12E-12	4.50E-12	4.88E-12	1.17E-11
13	251	238	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
14	251	237	7.03E-13	1.49E-12	1.87E-12	2.14E-12	2.41E-12	2.69E-12	2.99E-12	8.25E-12
15	251	236	3.62E-13	8.47E-13	1.10E-12	1.29E-12	1.49E-12	1.69E-12	1.91E-12	5.82E-12
16	251	235	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
17	251	234	1.71E-13	4.60E-13	6.29E-13	7.70E-13	9.07E-13	1.06E-12	1.22E-12	4.08E-12
18	251	233	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
19	251	232	7.43E-14	2.35E-13	3.40E-13	4.32E-13	5.26E-13	6.31E-13	7.46E-13	2.81E-12
20	251	231	2.98E-14	1.12E-13	1.69E-13	2.19E-13	2.73E-13	3.37E-13	4.10E-13	1.73E-12
21	251	230	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
22	251	229	1.09E-14	5.14E-14	8.03E-14	1.04E-13	1.31E-13	1.65E-13	2.08E-13	9.78E-13
23	251	228	2.25E-15	1.27E-14	2.03E-14	2.61E-14	3.26E-14	4.12E-14	5.25E-14	2.55E-13
24	251	227	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
25	251	226	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
26	251	225	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
27	251	224	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
28	251	223	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
29	251	222	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
30	251	221	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
31	251	220	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
32	251	219	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
33	251	218	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
34	251	217	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
35	251	216	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
36	251	215	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
37	251	214	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
38	251	213	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
39	251	212	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20	1.00E-20
