! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
 135   17   15 1.23e-10 1.18e-10 1.11e-10 1.08e-10 1.05e-10 1.04e-10 1.02e-10 1.01e-10 1.01e-10 1.01e-10 
 136   17   16 1.13e-10 1.21e-10 1.32e-10 1.40e-10 1.46e-10 1.51e-10 1.60e-10 1.66e-10 1.69e-10 1.72e-10 
 137   18    1 7.60e-14 7.96e-14 9.23e-14 1.11e-13 1.32e-13 1.55e-13 2.18e-13 2.69e-13 3.10e-13 3.45e-13 
 138   18    2 2.97e-13 3.02e-13 3.34e-13 3.85e-13 4.45e-13 5.10e-13 6.85e-13 8.23e-13 9.36e-13 1.03e-12 
 139   18    3 7.29e-13 7.15e-13 7.51e-13 8.27e-13 9.19e-13 1.02e-12 1.29e-12 1.50e-12 1.69e-12 1.84e-12 
 140   18    4 1.54e-12 1.47e-12 1.47e-12 1.54e-12 1.64e-12 1.74e-12 2.04e-12 2.28e-12 2.48e-12 2.65e-12 
 141   18    5 2.88e-12 2.70e-12 2.61e-12 2.65e-12 2.72e-12 2.82e-12 3.11e-12 3.36e-12 3.59e-12 3.81e-12 
 142   18    6 4.86e-12 4.53e-12 4.25e-12 4.17e-12 4.16e-12 4.20e-12 4.35e-12 4.50e-12 4.65e-12 4.80e-12 
 143   18    7 7.92e-12 7.29e-12 6.69e-12 6.39e-12 6.22e-12 6.14e-12 6.12e-12 6.24e-12 6.44e-12 6.66e-12 
 144   18    8 1.17e-11 1.07e-11 9.63e-12 9.01e-12 8.60e-12 8.33e-12 7.90e-12 7.75e-12 7.71e-12 7.76e-12 
 145   18    9 1.68e-11 1.55e-11 1.38e-11 1.27e-11 1.20e-11 1.15e-11 1.09e-11 1.09e-11 1.10e-11 1.13e-11 
 146   18   10 2.10e-11 1.96e-11 1.73e-11 1.57e-11 1.47e-11 1.39e-11 1.26e-11 1.20e-11 1.18e-11 1.19e-11 
 147   18   11 2.80e-11 2.70e-11 2.44e-11 2.26e-11 2.13e-11 2.05e-11 1.95e-11 1.93e-11 1.94e-11 1.97e-11 
 148   18   12 2.88e-11 2.85e-11 2.63e-11 2.42e-11 2.27e-11 2.15e-11 1.97e-11 1.91e-11 1.91e-11 1.93e-11 
 149   18   13 4.12e-11 4.34e-11 4.27e-11 4.12e-11 4.00e-11 3.91e-11 3.77e-11 3.71e-11 3.69e-11 3.68e-11 
 150   18   14 4.50e-11 4.49e-11 4.38e-11 4.22e-11 4.09e-11 3.98e-11 3.83e-11 3.80e-11 3.82e-11 3.87e-11 
 151   18   15 6.96e-11 7.48e-11 7.84e-11 7.87e-11 7.82e-11 7.73e-11 7.50e-11 7.33e-11 7.19e-11 7.08e-11 
 152   18   16 1.32e-10 1.22e-10 1.14e-10 1.10e-10 1.07e-10 1.05e-10 1.03e-10 1.02e-10 1.02e-10 1.02e-10 
 153   18   17 1.07e-10 1.16e-10 1.29e-10 1.37e-10 1.44e-10 1.48e-10 1.58e-10 1.63e-10 1.67e-10 1.70e-10 
 154   19    1 3.68e-14 4.03e-14 4.98e-14 6.32e-14 7.95e-14 9.77e-14 1.51e-13 1.96e-13 2.34e-13 2.67e-13 
 155   19    2 1.61e-13 1.68e-13 1.95e-13 2.36e-13 2.85e-13 3.39e-13 4.97e-13 6.30e-13 7.46e-13 8.44e-13 
 156   19    3 4.32e-13 4.34e-13 4.70e-13 5.32e-13 6.08e-13 6.92e-13 9.28e-13 1.12e-12 1.29e-12 1.44e-12 
 157   19    4 9.58e-13 9.37e-13 9.68e-13 1.04e-12 1.14e-12 1.25e-12 1.55e-12 1.80e-12 2.02e-12 2.21e-12 
